ENA_Run	COG_ID
ERR5169310	CAMB-727E6
ERR5169293	CAMB-727F5
ERR5169276	CAMB-72801
ERR5169279	CAMB-72810
ERR5169259	CAMB-7282F
ERR5169265	CAMB-7283E
ERR5169243	CAMB-7284D
ERR5169247	CAMB-7285C
ERR5169231	CAMB-7286B
ERR5169214	CAMB-7287A
ERR5169233	CAMB-72889
ERR5169217	CAMB-72898
ERR5169198	CAMB-728A7
ERR5169204	CAMB-728B6
ERR5169182	CAMB-728C5
ERR5169186	CAMB-728D4
ERR5169498	CAMB-728E3
ERR5169488	CAMB-728F2
ERR5169475	CAMB-7291D
ERR5169471	CAMB-7292C
ERR5169463	CAMB-7293B
ERR5169457	CAMB-7294A
ERR5169436	CAMB-72959
ERR5169446	CAMB-72968
ERR5169442	CAMB-72977
ERR5169438	CAMB-72986
ERR5169445	CAMB-72995
ERR5169433	CAMB-729A4
ERR5169412	CAMB-729C2
ERR5169416	CAMB-729D1
ERR5169420	CAMB-729E0
ERR5169422	CAMB-729FF
ERR5169427	CAMB-72A0B
ERR5169428	CAMB-72A1A
ERR5169432	CAMB-72A29
ERR5169403	CAMB-72A47
ERR5169409	CAMB-72A56
ERR5169389	CAMB-72A65
ERR5169395	CAMB-72A74
ERR5169383	CAMB-72A83
ERR5169374	CAMB-72AA1
ERR5169338	CAMB-72AB0
ERR5169369	CAMB-72ACF
ERR5169368	CAMB-72ADE
ERR5169364	CAMB-72AED
ERR5169334	CAMB-72AFC
ERR5169376	CAMB-72B17
ERR5169382	CAMB-73CC8
ERR5168942	CAMB-7591A
ERR5168946	CAMB-75929
ERR5168950	CAMB-75938
ERR5168955	CAMB-75947
ERR5168959	CAMB-75956
ERR5168965	CAMB-75974
ERR5168968	CAMB-75983
ERR5168971	CAMB-75992
ERR5168974	CAMB-759A1
ERR5168980	CAMB-759B0
ERR5168984	CAMB-759CF
ERR5168986	CAMB-759DE
ERR5168958	CAMB-759ED
ERR5169135	CAMB-759FC
ERR5169162	CAMB-75A08
ERR5169140	CAMB-75A17
ERR5168949	CAMB-75A26
ERR5168893	CAMB-75A35
ERR5168989	CAMB-75A44
ERR5168912	CAMB-75A53
ERR5168970	CAMB-75A62
ERR5168914	CAMB-75A71
